age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility,total_monthly_expenses,debt_to_income_ratio,expense_to_income_ratio,available_income,affordability_ratio
28,Female,Single,Graduate,30489,Government,6,Small,Rented,3895,1,0,6509,177,12233,26009,13048,No,15623,755,208283,222081,Personal Loan,1189986,8,500.0,Not_Eligible,77494,0.5124143133589163,2.5417035652202435,-47005,0.016399357145199907
53,Male,Single,Graduate,74789,Self-employed,7,Large,Own,14453,3,1,12288,15488,6363,17624,11145,No,20872,509,101610,295881,Personal Loan,596182,53,500.0,Not_Eligible,98233,0.2790784741071548,1.313468558210432,-23444,0.0066854751367179666
42,Male,Single,High School,84925,Self-employed,13,Small,Family,4797,3,3,2960,10802,14378,8997,10505,No,26489,453,253361,199186,Home Appliances,1462442,55,2098.95,Not_Eligible,78928,0.3119105092728878,0.9293847512511039,5997,0.024715337062113627
50,Female,Married,Graduate,64703,Private,18,Medium,Family,13041,1,3,4943,4513,11533,25617,3624,Yes,1369,458,374807,186175,Vehicle,281257,13,500.0,Not_Eligible,64640,0.0211582152295875,0.9990263202633571,63,0.007727616957482652
58,Female,Married,Post Graduate,91625,Self-employed,18,Large,Rented,1828,6,1,9444,8745,4201,9355,15414,No,10625,481,854649,234489,E-commerce Shopping,675418,52,11204.55,Not_Eligible,59612,0.11596180081855388,0.6506084583901773,32013,0.12228703956343792
34,Female,Married,High School,122535,Self-employed,22,Large,Family,9727,5,1,8916,11581,7998,19958,7391,No,6308,483,414575,56121,Education,688849,19,17729.6,Not_Eligible,71879,0.05147916921695842,0.5865997470110581,50656,0.14469008854612966
60,Male,Single,Professional,18051,Private,25,Medium,Family,12517,2,2,1306,7774,11279,28671,1909,No,7563,499,94688,271355,Vehicle,277856,48,500.0,Not_Eligible,71019,0.41897955791922886,3.934352667442247,-52968,0.027699296437870478
38,Male,Single,Post Graduate,184162,Government,11,Small,Rented,16943,5,0,759,16625,6331,22279,2674,Yes,530,845,346474,423867,E-commerce Shopping,65996,84,41307.35,Eligible,66141,0.002877900978486333,0.35914575210955574,118021,0.2242989867616555
55,Male,Single,Post Graduate,43805,Private,22,Large,Own,25749,5,1,5238,28575,10271,4988,3324,No,6938,345,77463,263797,Home Appliances,1010109,48,500.0,Not_Eligible,85083,0.15838374614770004,1.9423125214016665,-41278,0.01141422212076247
39,Male,Married,High School,109978,Self-employed,26,Large,Own,10070,5,0,14202,9571,11951,11481,2602,No,26519,639,897815,490863,Education,249132,79,8253.699999999999,High_Risk,86396,0.2411300441906563,0.7855752968775573,23582,0.07504864609285493
32,Male,Single,Professional,59557,Private,8,Medium,Rented,26831,6,3,226,9788,1290,25554,154,No,10689,795,208439,460012,Vehicle,1286575,43,500.0,Not_Eligible,74532,0.17947512467048374,1.2514397971690985,-14975,0.008395318770253707
38,Female,Single,Post Graduate,148627,Government,13,Large,Rented,9276,5,0,4797,8028,7960,21851,19058,No,1551,822,115168,3362,E-commerce Shopping,243201,53,26637.1,Eligible,72521,0.01043551979115504,0.4879396072046129,76106,0.17922113747838547
47,Male,Married,Graduate,65241,Self-employed,5,Large,Own,20298,2,4,8499,13749,6738,4588,12057,Yes,6657,530,270183,398696,Home Appliances,734667,13,500.0,Not_Eligible,72586,0.10203706258334483,1.1125825784399381,-7345,0.007663892337640441
45,Female,Married,Post Graduate,142838,Government,14,Large,Own,29812,4,2,3378,28105,13994,25257,11833,Yes,16788,385,204990,97417,Personal Loan,1421281,53,4784.849999999999,Not_Eligible,129167,0.11753174925440009,0.9042901748834343,13671,0.03349843879079796
40,Female,Single,High School,80994,Government,12,Small,Rented,24814,1,2,11201,13753,4423,29054,10571,Yes,25097,445,45603,354927,Personal Loan,1090730,29,500.0,Not_Eligible,118913,0.30986245894757636,1.4681704817640813,-37919,0.006173296787416352
42,Male,Single,High School,129005,Private,6,Small,Rented,8050,5,0,6712,10196,12358,11996,1527,Yes,29625,617,278096,354545,Personal Loan,1238402,51,16989.35,High_Risk,80464,0.22964226192783224,0.623727762489826,48541,0.1316952831285609
48,Female,Single,High School,31066,Government,10,Medium,Rented,27490,5,2,9709,23779,4499,28187,625,No,617,834,199257,86307,Home Appliances,781886,18,500.0,Not_Eligible,94906,0.019860941221914633,3.0549797205948623,-63840,0.016094765982102622
50,Male,Single,Post Graduate,150793,Private,9,Small,Family,26671,1,0,9723,26522,9173,19855,17069,Yes,18448,659,40478,453044,E-commerce Shopping,117819,52,8166.2,High_Risk,127461,0.12233989641428979,0.8452713322236444,23332,0.054155033721724484
49,Female,Married,Professional,92982,Private,0,Large,Rented,9663,1,0,10036,1300,14086,18950,9657,Yes,12491,480,525989,163703,Home Appliances,156993,17,5879.65,Not_Eligible,76183,0.1343378288270848,0.8193306231313587,16799,0.06323428190402443
53,Male,Single,Graduate,21304,Government,6,Small,Family,6900,4,3,5208,27665,8804,13161,16348,Yes,15366,373,286020,484087,Personal Loan,1171481,56,500.0,Not_Eligible,93452,0.7212730003755163,4.386594066841908,-72148,0.023469770935035675
39,Male,Single,High School,57967,Private,17,Large,Own,5587,3,0,7442,7923,6568,15656,12428,No,9928,828,693223,363573,Home Appliances,694439,16,500.0,Not_Eligible,65532,0.17126986043783532,1.1305052874911588,-7565,0.008625597322614592
25,Female,Married,Professional,93763,Private,22,Large,Own,21796,4,2,10860,23862,1843,3409,17253,Yes,20145,554,369887,6671,Education,1257865,81,500.0,Not_Eligible,99168,0.21485020743790195,1.057645339846208,-5405,0.005332593880315263
49,Male,Single,Graduate,55462,Government,2,Small,Rented,26621,3,4,4748,19779,1913,12817,3077,No,26110,664,296530,233521,E-commerce Shopping,1185329,84,500.0,Not_Eligible,95065,0.4707727813638167,1.7140564710973278,-39603,0.009015181565756734
31,Female,Single,High School,135356,Self-employed,8,Small,Rented,15784,6,1,8988,17454,5439,6959,904,No,9225,563,857211,125721,Education,932474,78,24711.05,Not_Eligible,64753,0.06815360974024055,0.47839031886285055,70603,0.1825633883980023
33,Male,Married,Graduate,86834,Private,28,Small,Own,4612,2,2,12767,21301,6667,6574,13651,No,21263,484,33284,142110,Personal Loan,1350250,28,500.0,Not_Eligible,86835,0.24486952115530783,1.000011516226363,-1,0.005758113181472695
48,Male,Married,Graduate,126023,Private,4,Small,Own,3683,4,4,7045,6673,8896,18384,2022,Yes,1792,731,996769,22716,E-commerce Shopping,665379,42,27134.8,Eligible,48495,0.014219626576101188,0.38481070915626514,77528,0.2153162517953072
25,Male,Single,Professional,196227,Government,22,Medium,Own,8396,2,2,7624,11976,4990,27736,1242,Yes,28296,787,491794,48041,Education,1082182,20,37088.45,Eligible,90260,0.14420033940283447,0.45997747506714165,105967,0.1890078837265004
32,Female,Married,Graduate,132771,Private,23,Small,Own,7347,1,4,1779,23027,10168,10362,10818,Yes,22540,405,9371,470528,Home Appliances,661504,28,16355.499999999998,Not_Eligible,86041,0.16976598805462037,0.6480406112780652,46730,0.12318578605267715
48,Female,Married,High School,90842,Government,12,Medium,Rented,19984,4,2,13184,26364,12518,18780,2711,Yes,2236,733,203443,449193,Vehicle,1093818,20,500.0,Not_Eligible,95777,0.02461416525395742,1.0543250919178353,-4935,0.005504061997754343
35,Male,Single,Professional,17589,Self-employed,15,Large,Family,10329,6,1,7063,4287,11284,22109,1294,No,7599,436,402073,150704,Home Appliances,1011396,3,500.0,Not_Eligible,63965,0.43203138325089546,3.6366479049405878,-46376,0.028426857695150378
41,Female,Married,Post Graduate,140023,Self-employed,15,Medium,Own,23027,1,3,585,14384,2200,8853,10977,Yes,22671,587,527913,473306,Personal Loan,579398,18,20064.1,Not_Eligible,82697,0.16190911493111845,0.5905958306849589,57326,0.14329145926026438
32,Male,Single,Post Graduate,183150,Government,11,Large,Own,29803,6,3,1378,6237,8389,15058,12350,Yes,23976,642,569323,486034,Vehicle,289436,23,30085.65,High_Risk,97191,0.13090909090909092,0.5306633906633906,85959,0.16426781326781328
59,Female,Single,Professional,69918,Self-employed,17,Medium,Family,17597,6,1,12549,21410,2648,23492,5937,Yes,10525,651,936331,285391,E-commerce Shopping,551872,74,500.0,Not_Eligible,94158,0.15053348207900683,1.3466918390114133,-24240,0.007151234303040705
59,Female,Single,Post Graduate,159673,Government,10,Medium,Rented,23731,5,2,13487,26348,1121,22862,9055,No,18124,304,96789,365823,Vehicle,426891,68,15730.749999999998,Not_Eligible,114728,0.11350697989015049,0.7185184721274104,44945,0.09851853475540635
57,Male,Single,Graduate,22711,Private,16,Large,Family,14072,1,4,14739,3805,5370,13178,1556,No,24903,748,142049,404280,E-commerce Shopping,959897,5,500.0,Not_Eligible,77623,1.0965171062480736,3.4178591871780193,-54912,0.022015763286513144
29,Male,Married,High School,74430,Self-employed,6,Medium,Rented,12026,6,0,5707,2214,10151,21262,18686,No,694,797,371988,129381,Education,979563,10,1291.5,Not_Eligible,70740,0.009324197232298805,0.9504232164449818,3690,0.017351874244256348
52,Male,Single,Graduate,117605,Private,14,Large,Rented,3091,5,2,5442,24505,4815,14509,17120,No,15882,522,169441,473735,Education,156400,20,11284.35,Not_Eligible,85364,0.13504527868713065,0.725853492623613,32241,0.09595127758173547
31,Male,Single,Professional,18970,Private,5,Small,Rented,17766,3,1,12982,24632,5407,9231,14461,Yes,2928,436,307030,264381,Education,20506,27,500.0,Not_Eligible,87407,0.15434897206114917,4.60764364786505,-68437,0.02635740643120717
33,Male,Single,High School,84535,Government,5,Large,Rented,20064,5,3,6929,22533,2352,23918,17162,No,10675,837,364002,5967,Education,1094022,74,500.0,Not_Eligible,103633,0.1262790560123026,1.2259182587094104,-19098,0.005914709883480215
32,Female,Single,Professional,101570,Self-employed,17,Medium,Rented,14045,3,3,6420,16621,6222,19804,5525,No,5086,493,319808,165323,Education,679416,20,9746.45,Not_Eligible,73723,0.05007384070099439,0.7258343999212366,27847,0.09595796002756721
36,Female,Married,Professional,136315,Self-employed,18,Small,Own,26255,5,2,12002,732,1687,25155,12907,Yes,13802,636,61790,21512,Vehicle,358179,26,15321.249999999998,High_Risk,92540,0.10125077944466859,0.6788687965374317,43775,0.1123959212118989
58,Male,Married,Professional,182248,Private,19,Medium,Rented,8198,5,4,4031,14925,11521,23277,7525,Yes,8522,305,198045,433007,E-commerce Shopping,880471,71,36487.15,Not_Eligible,77999,0.04676045827663404,0.42798274878187964,104249,0.20020603792634215
57,Male,Married,Graduate,127111,Private,18,Small,Own,26461,2,1,10916,22547,14556,26807,12375,Yes,29743,512,11793,324358,Education,172784,28,500.0,Not_Eligible,143405,0.23399233740588934,1.1281871749887893,-16294,0.003933569872001636
47,Male,Single,High School,56730,Government,1,Large,Rented,3498,2,1,7442,20273,14444,19017,4784,No,25350,804,193356,276135,Education,968034,76,500.0,Not_Eligible,94808,0.446853516657853,1.671214524942711,-38078,0.008813678829543451
48,Female,Married,High School,159457,Self-employed,2,Small,Own,24871,1,4,6360,2824,1855,16318,8035,No,23477,530,787275,58355,E-commerce Shopping,1168219,13,26500.95,Not_Eligible,83740,0.14723091491750126,0.5251572524254188,75717,0.16619496165110342
59,Male,Married,High School,138252,Government,13,Small,Family,14905,6,4,1847,17611,5436,19883,6794,Yes,25856,390,309177,226788,Vehicle,1432224,6,16071.999999999998,Not_Eligible,92332,0.18702080259236756,0.66785290628707,45920,0.11625148279952549
46,Male,Single,Graduate,152022,Government,21,Small,Family,5506,2,2,10429,28813,1021,27821,4732,No,29782,639,193687,13500,Education,865328,12,15371.3,High_Risk,108104,0.19590585573140729,0.7111076028469564,43918,0.10111233900356527
51,Female,Married,Post Graduate,199081,Government,24,Medium,Own,24839,3,2,1041,22903,8317,7441,521,Yes,1055,838,732007,236566,Vehicle,133122,14,46537.4,Eligible,66117,0.005299350515619271,0.3321110502760183,132964,0.2337611324033936
59,Female,Single,Graduate,169470,Self-employed,3,Small,Rented,2137,2,3,4839,2454,3004,26755,5697,Yes,26941,829,422674,65832,Education,737326,76,34175.05,Eligible,71827,0.15897208945536084,0.4238331268071045,97643,0.20165840561751344
25,Female,Married,Graduate,171349,Government,21,Large,Own,24039,1,3,11677,29487,7712,27033,2847,No,27790,509,336622,375111,Vehicle,1415541,14,14267.4,Not_Eligible,130585,0.16218361356062772,0.7620995745525214,40764,0.08326514890661749
59,Female,Married,Professional,172833,Self-employed,16,Large,Own,15946,4,4,7351,22607,7813,17063,4111,Yes,19409,679,500584,343702,Personal Loan,1495746,7,27486.55,High_Risk,94300,0.11229915583250884,0.5456133955899626,78533,0.1590353115435131
38,Male,Married,High School,78944,Government,27,Large,Rented,24508,3,0,7785,12497,13144,28055,13081,Yes,9307,310,735594,86995,Education,452615,7,500.0,Not_Eligible,108377,0.11789369679773004,1.3728339075800569,-29433,0.006333603567085529
27,Female,Married,High School,177605,Private,5,Small,Family,21332,4,0,242,17151,13078,24597,12647,No,4284,815,519543,132847,Education,260642,25,29495.9,Eligible,93331,0.024120942541032066,0.5254975929731708,84274,0.16607584245939022
25,Female,Single,Post Graduate,122437,Government,27,Large,Own,15620,3,0,5545,11575,1969,28909,8422,No,5197,850,716619,81930,Home Appliances,1230925,58,15819.999999999998,Eligible,77237,0.042446319331574604,0.630830549588768,45200,0.12920930764393115
29,Male,Single,Post Graduate,141794,Government,18,Medium,Family,14823,6,1,2100,8168,4778,21951,8119,No,25420,383,862558,56320,Home Appliances,1194683,48,19752.25,Not_Eligible,85359,0.17927415828596416,0.6019930321452248,56435,0.13930243874917134
50,Male,Married,Professional,87123,Self-employed,8,Large,Family,3865,6,2,9441,2424,8334,9048,6749,No,6583,636,148682,191664,Vehicle,944604,4,14237.65,High_Risk,46444,0.07555984068500855,0.53308540798641,40679,0.1634201072047565
38,Male,Single,High School,37880,Private,3,Small,Family,5460,6,4,1737,6183,9536,15457,11656,Yes,26657,354,768667,258859,Home Appliances,836021,76,500.0,Not_Eligible,76686,0.7037222808870116,2.0244456177402324,-38806,0.013199577613516367
51,Female,Married,Post Graduate,187825,Private,6,Large,Own,21832,1,3,11861,19808,10921,7214,518,No,117,620,988232,62788,Vehicle,933440,3,40443.9,High_Risk,72271,0.0006229202715293491,0.38477838413416743,115554,0.2153275655530414
33,Male,Married,Post Graduate,102829,Self-employed,3,Small,Own,4496,2,0,14897,20932,6580,11949,8675,No,14359,392,103811,281741,Education,383056,15,7329.349999999999,Not_Eligible,81888,0.1396395958338601,0.7963512238765329,20941,0.07127707164321348
39,Female,Married,High School,147633,Self-employed,10,Small,Rented,20836,4,3,10110,23974,9077,18999,10304,Yes,7707,407,331944,10758,Education,829482,62,16319.1,Not_Eligible,101007,0.0522037755786308,0.6841763020462904,46626,0.11053829428379834
39,Female,Married,Graduate,68205,Private,21,Large,Rented,6898,4,2,12606,17097,4331,25237,10458,Yes,13066,649,235537,70778,Personal Loan,1039350,38,500.0,Not_Eligible,89693,0.19156953302543803,1.315050216259805,-21488,0.007330840847445202
50,Female,Married,Post Graduate,121948,Self-employed,29,Medium,Own,2546,2,4,2754,16469,5295,13302,3851,Yes,14066,708,788339,102843,Personal Loan,1014479,64,22282.75,Eligible,58283,0.11534424508807033,0.47793321743694034,63665,0.18272337389707088
37,Male,Married,High School,74810,Private,22,Medium,Rented,4929,1,0,1392,17962,7148,26668,13519,Yes,11227,848,639306,159255,Home Appliances,281552,65,500.0,Not_Eligible,82845,0.15007351958294346,1.107405427081941,-8035,0.00668359844940516
56,Female,Single,Post Graduate,128089,Government,1,Large,Family,12722,2,0,8439,22763,7443,3108,6855,No,14037,507,45246,96998,Education,1009402,69,18452.7,Not_Eligible,75367,0.10958786468783424,0.588395568706134,52722,0.1440615509528531
