age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
39,Female,Married,High School,94552,Self-employed,14,Medium,Rented,9770,3,0,781,16389,12042,10396,3116,Yes,1048,497,306500,213850,Home Appliances,989734,16,14353.499999999998,Not_Eligible
27,Male,Single,High School,53233,Private,30,Large,Own,13499,1,3,1425,17094,1717,17556,3617,Yes,8597,747,659843,326953,Home Appliances,342134,27,500.0,Not_Eligible
31,Male,Single,Post Graduate,37695,Private,3,Large,Family,25,4,3,4928,24587,4139,19291,8955,No,5371,847,348678,250563,E-commerce Shopping,151602,76,500.0,Not_Eligible
45,Male,Married,Graduate,141440,Private,14,Medium,Family,24330,3,3,2551,2150,3920,20314,19278,No,18134,404,755524,353944,Home Appliances,936936,66,17767.05,Not_Eligible
33,Male,Single,Graduate,188806,Self-employed,9,Medium,Rented,10401,1,3,11678,23226,1654,20737,4619,Yes,10685,659,715607,124687,Education,406924,71,37032.1,High_Risk
42,Female,Married,Post Graduate,96257,Self-employed,5,Small,Family,7297,6,4,10515,14144,10323,3656,5188,No,27300,823,155835,379064,Home Appliances,449464,70,6241.9,High_Risk
28,Male,Single,Post Graduate,16505,Private,12,Small,Family,14868,3,1,12613,26289,7328,25813,4966,Yes,7049,777,790482,319905,E-commerce Shopping,526582,22,500.0,Not_Eligible
49,Female,Single,Graduate,151435,Private,6,Large,Family,6553,3,3,7423,20906,10967,20589,9461,No,18000,513,981614,238282,Personal Loan,294012,45,20137.6,Not_Eligible
38,Male,Single,High School,194780,Government,25,Small,Own,5759,6,3,556,12458,12414,22251,16342,No,27443,648,659680,297736,E-commerce Shopping,532592,7,34144.95,High_Risk
33,Female,Single,Professional,58614,Government,29,Medium,Rented,7755,4,3,8704,5808,8890,11647,11032,No,9292,771,420103,343714,E-commerce Shopping,1414489,34,500.0,Not_Eligible
50,Male,Single,High School,16010,Private,21,Medium,Rented,13384,2,2,11410,28760,7733,8014,15154,Yes,27971,366,955524,422682,Vehicle,414864,47,500.0,Not_Eligible
26,Female,Single,Post Graduate,145560,Self-employed,0,Small,Rented,29928,6,2,6438,27994,14786,23754,8865,Yes,16863,468,462537,262054,Home Appliances,1003273,45,5926.2,Not_Eligible
44,Male,Single,Graduate,165933,Government,21,Small,Rented,27478,2,0,6518,21334,4811,29660,4604,Yes,28955,451,304995,439212,Home Appliances,394045,73,14900.55,Not_Eligible
52,Female,Single,Graduate,170197,Private,10,Large,Family,1129,4,1,5786,19666,2749,5490,9133,Yes,23709,773,306702,254074,Vehicle,300661,24,35887.25,Eligible
31,Male,Single,Professional,155441,Government,13,Small,Own,4996,2,3,4151,7892,12402,3874,17326,No,1709,496,380717,347372,Education,1202213,43,36081.85,Not_Eligible
32,Female,Single,Graduate,84393,Government,5,Large,Family,12296,5,0,13199,5553,6817,14299,4471,Yes,27815,312,357434,257467,Education,1078319,60,500.0,Not_Eligible
59,Female,Single,Professional,172743,Government,4,Small,Family,20529,2,0,6093,19988,7111,7163,3743,Yes,23700,461,559366,350194,Vehicle,117222,61,29545.6,Not_Eligible
38,Male,Single,High School,79512,Self-employed,18,Small,Family,5641,6,1,13830,27223,11919,29009,6283,Yes,5262,785,199161,121435,Home Appliances,287149,30,500.0,Not_Eligible
41,Female,Single,High School,113026,Private,25,Small,Family,25017,3,2,12307,28172,11728,15647,3836,No,14978,631,308360,140714,Education,69478,57,500.0,Not_Eligible
60,Male,Married,Graduate,90656,Self-employed,18,Small,Rented,22281,3,1,11733,7154,2081,6192,2428,No,5456,347,674137,286780,Education,138810,53,11665.849999999999,Not_Eligible
28,Male,Single,Graduate,112686,Self-employed,26,Medium,Rented,13901,1,0,2899,7139,7774,23122,14738,Yes,28110,367,345724,300740,Personal Loan,218889,38,5251.049999999999,Not_Eligible
26,Male,Single,Post Graduate,190210,Government,25,Medium,Own,14371,6,1,6734,15479,13375,8043,11566,No,28768,533,278072,101263,Education,958846,70,32155.899999999998,Not_Eligible
30,Female,Single,Post Graduate,199492,Private,12,Medium,Family,7369,4,2,5016,20366,14433,27107,9381,No,16836,540,506191,397403,Home Appliances,134939,45,34644.399999999994,Not_Eligible
28,Female,Single,Graduate,30489,Government,6,Small,Rented,3895,1,0,6509,177,12233,26009,13048,No,15623,755,208283,222081,Personal Loan,1189986,8,500.0,Not_Eligible
53,Male,Single,Graduate,74789,Self-employed,7,Large,Own,14453,3,1,12288,15488,6363,17624,11145,No,20872,509,101610,295881,Personal Loan,596182,53,500.0,Not_Eligible
42,Male,Single,High School,84925,Self-employed,13,Small,Family,4797,3,3,2960,10802,14378,8997,10505,No,26489,453,253361,199186,Home Appliances,1462442,55,2098.95,Not_Eligible
50,Female,Married,Graduate,64703,Private,18,Medium,Family,13041,1,3,4943,4513,11533,25617,3624,Yes,1369,458,374807,186175,Vehicle,281257,13,500.0,Not_Eligible
58,Female,Married,Post Graduate,91625,Self-employed,18,Large,Rented,1828,6,1,9444,8745,4201,9355,15414,No,10625,481,854649,234489,E-commerce Shopping,675418,52,11204.55,Not_Eligible
34,Female,Married,High School,122535,Self-employed,22,Large,Family,9727,5,1,8916,11581,7998,19958,7391,No,6308,483,414575,56121,Education,688849,19,17729.6,Not_Eligible
60,Male,Single,Professional,18051,Private,25,Medium,Family,12517,2,2,1306,7774,11279,28671,1909,No,7563,499,94688,271355,Vehicle,277856,48,500.0,Not_Eligible
38,Male,Single,Post Graduate,184162,Government,11,Small,Rented,16943,5,0,759,16625,6331,22279,2674,Yes,530,845,346474,423867,E-commerce Shopping,65996,84,41307.35,Eligible
55,Male,Single,Post Graduate,43805,Private,22,Large,Own,25749,5,1,5238,28575,10271,4988,3324,No,6938,345,77463,263797,Home Appliances,1010109,48,500.0,Not_Eligible
39,Male,Married,High School,109978,Self-employed,26,Large,Own,10070,5,0,14202,9571,11951,11481,2602,No,26519,639,897815,490863,Education,249132,79,8253.699999999999,High_Risk
32,Male,Single,Professional,59557,Private,8,Medium,Rented,26831,6,3,226,9788,1290,25554,154,No,10689,795,208439,460012,Vehicle,1286575,43,500.0,Not_Eligible
38,Female,Single,Post Graduate,148627,Government,13,Large,Rented,9276,5,0,4797,8028,7960,21851,19058,No,1551,822,115168,3362,E-commerce Shopping,243201,53,26637.1,Eligible
47,Male,Married,Graduate,65241,Self-employed,5,Large,Own,20298,2,4,8499,13749,6738,4588,12057,Yes,6657,530,270183,398696,Home Appliances,734667,13,500.0,Not_Eligible
45,Female,Married,Post Graduate,142838,Government,14,Large,Own,29812,4,2,3378,28105,13994,25257,11833,Yes,16788,385,204990,97417,Personal Loan,1421281,53,4784.849999999999,Not_Eligible
40,Female,Single,High School,80994,Government,12,Small,Rented,24814,1,2,11201,13753,4423,29054,10571,Yes,25097,445,45603,354927,Personal Loan,1090730,29,500.0,Not_Eligible
42,Male,Single,High School,129005,Private,6,Small,Rented,8050,5,0,6712,10196,12358,11996,1527,Yes,29625,617,278096,354545,Personal Loan,1238402,51,16989.35,High_Risk
48,Female,Single,High School,31066,Government,10,Medium,Rented,27490,5,2,9709,23779,4499,28187,625,No,617,834,199257,86307,Home Appliances,781886,18,500.0,Not_Eligible
50,Male,Single,Post Graduate,150793,Private,9,Small,Family,26671,1,0,9723,26522,9173,19855,17069,Yes,18448,659,40478,453044,E-commerce Shopping,117819,52,8166.2,High_Risk
49,Female,Married,Professional,92982,Private,0,Large,Rented,9663,1,0,10036,1300,14086,18950,9657,Yes,12491,480,525989,163703,Home Appliances,156993,17,5879.65,Not_Eligible
53,Male,Single,Graduate,21304,Government,6,Small,Family,6900,4,3,5208,27665,8804,13161,16348,Yes,15366,373,286020,484087,Personal Loan,1171481,56,500.0,Not_Eligible
39,Male,Single,High School,57967,Private,17,Large,Own,5587,3,0,7442,7923,6568,15656,12428,No,9928,828,693223,363573,Home Appliances,694439,16,500.0,Not_Eligible
25,Female,Married,Professional,93763,Private,22,Large,Own,21796,4,2,10860,23862,1843,3409,17253,Yes,20145,554,369887,6671,Education,1257865,81,500.0,Not_Eligible
49,Male,Single,Graduate,55462,Government,2,Small,Rented,26621,3,4,4748,19779,1913,12817,3077,No,26110,664,296530,233521,E-commerce Shopping,1185329,84,500.0,Not_Eligible
31,Female,Single,High School,135356,Self-employed,8,Small,Rented,15784,6,1,8988,17454,5439,6959,904,No,9225,563,857211,125721,Education,932474,78,24711.05,Not_Eligible
33,Male,Married,Graduate,86834,Private,28,Small,Own,4612,2,2,12767,21301,6667,6574,13651,No,21263,484,33284,142110,Personal Loan,1350250,28,500.0,Not_Eligible
48,Male,Married,Graduate,126023,Private,4,Small,Own,3683,4,4,7045,6673,8896,18384,2022,Yes,1792,731,996769,22716,E-commerce Shopping,665379,42,27134.8,Eligible
25,Male,Single,Professional,196227,Government,22,Medium,Own,8396,2,2,7624,11976,4990,27736,1242,Yes,28296,787,491794,48041,Education,1082182,20,37088.45,Eligible
32,Female,Married,Graduate,132771,Private,23,Small,Own,7347,1,4,1779,23027,10168,10362,10818,Yes,22540,405,9371,470528,Home Appliances,661504,28,16355.499999999998,Not_Eligible
48,Female,Married,High School,90842,Government,12,Medium,Rented,19984,4,2,13184,26364,12518,18780,2711,Yes,2236,733,203443,449193,Vehicle,1093818,20,500.0,Not_Eligible
35,Male,Single,Professional,17589,Self-employed,15,Large,Family,10329,6,1,7063,4287,11284,22109,1294,No,7599,436,402073,150704,Home Appliances,1011396,3,500.0,Not_Eligible
41,Female,Married,Post Graduate,140023,Self-employed,15,Medium,Own,23027,1,3,585,14384,2200,8853,10977,Yes,22671,587,527913,473306,Personal Loan,579398,18,20064.1,Not_Eligible
32,Male,Single,Post Graduate,183150,Government,11,Large,Own,29803,6,3,1378,6237,8389,15058,12350,Yes,23976,642,569323,486034,Vehicle,289436,23,30085.649999999998,High_Risk
59,Female,Single,Professional,69918,Self-employed,17,Medium,Family,17597,6,1,12549,21410,2648,23492,5937,Yes,10525,651,936331,285391,E-commerce Shopping,551872,74,500.0,Not_Eligible
59,Female,Single,Post Graduate,159673,Government,10,Medium,Rented,23731,5,2,13487,26348,1121,22862,9055,No,18124,304,96789,365823,Vehicle,426891,68,15730.749999999998,Not_Eligible
57,Male,Single,Graduate,22711,Private,16,Large,Family,14072,1,4,14739,3805,5370,13178,1556,No,24903,748,142049,404280,E-commerce Shopping,959897,5,500.0,Not_Eligible
29,Male,Married,High School,74430,Self-employed,6,Medium,Rented,12026,6,0,5707,2214,10151,21262,18686,No,694,797,371988,129381,Education,979563,10,1291.5,Not_Eligible
52,Male,Single,Graduate,117605,Private,14,Large,Rented,3091,5,2,5442,24505,4815,14509,17120,No,15882,522,169441,473735,Education,156400,20,11284.349999999999,Not_Eligible
31,Male,Single,Professional,18970,Private,5,Small,Rented,17766,3,1,12982,24632,5407,9231,14461,Yes,2928,436,307030,264381,Education,20506,27,500.0,Not_Eligible
33,Male,Single,High School,84535,Government,5,Large,Rented,20064,5,3,6929,22533,2352,23918,17162,No,10675,837,364002,5967,Education,1094022,74,500.0,Not_Eligible
32,Female,Single,Professional,101570,Self-employed,17,Medium,Rented,14045,3,3,6420,16621,6222,19804,5525,No,5086,493,319808,165323,Education,679416,20,9746.449999999999,Not_Eligible
36,Female,Married,Professional,136315,Self-employed,18,Small,Own,26255,5,2,12002,732,1687,25155,12907,Yes,13802,636,61790,21512,Vehicle,358179,26,15321.249999999998,High_Risk
58,Male,Married,Professional,182248,Private,19,Medium,Rented,8198,5,4,4031,14925,11521,23277,7525,Yes,8522,305,198045,433007,E-commerce Shopping,880471,71,36487.149999999994,Not_Eligible
57,Male,Married,Graduate,127111,Private,18,Small,Own,26461,2,1,10916,22547,14556,26807,12375,Yes,29743,512,11793,324358,Education,172784,28,500.0,Not_Eligible
47,Male,Single,High School,56730,Government,1,Large,Rented,3498,2,1,7442,20273,14444,19017,4784,No,25350,804,193356,276135,Education,968034,76,500.0,Not_Eligible
48,Female,Married,High School,159457,Self-employed,2,Small,Own,24871,1,4,6360,2824,1855,16318,8035,No,23477,530,787275,58355,E-commerce Shopping,1168219,13,26500.949999999997,Not_Eligible
59,Male,Married,High School,138252,Government,13,Small,Family,14905,6,4,1847,17611,5436,19883,6794,Yes,25856,390,309177,226788,Vehicle,1432224,6,16071.999999999998,Not_Eligible
46,Male,Single,Graduate,152022,Government,21,Small,Family,5506,2,2,10429,28813,1021,27821,4732,No,29782,639,193687,13500,Education,865328,12,15371.3,High_Risk
51,Female,Married,Post Graduate,199081,Government,24,Medium,Own,24839,3,2,1041,22903,8317,7441,521,Yes,1055,838,732007,236566,Vehicle,133122,14,46537.399999999994,Eligible
59,Female,Single,Graduate,169470,Self-employed,3,Small,Rented,2137,2,3,4839,2454,3004,26755,5697,Yes,26941,829,422674,65832,Education,737326,76,34175.049999999996,Eligible
25,Female,Married,Graduate,171349,Government,21,Large,Own,24039,1,3,11677,29487,7712,27033,2847,No,27790,509,336622,375111,Vehicle,1415541,14,14267.4,Not_Eligible
59,Female,Married,Professional,172833,Self-employed,16,Large,Own,15946,4,4,7351,22607,7813,17063,4111,Yes,19409,679,500584,343702,Personal Loan,1495746,7,27486.55,High_Risk
38,Male,Married,High School,78944,Government,27,Large,Rented,24508,3,0,7785,12497,13144,28055,13081,Yes,9307,310,735594,86995,Education,452615,7,500.0,Not_Eligible
27,Female,Married,High School,177605,Private,5,Small,Family,21332,4,0,242,17151,13078,24597,12647,No,4284,815,519543,132847,Education,260642,25,29495.899999999998,Eligible
25,Female,Single,Post Graduate,122437,Government,27,Large,Own,15620,3,0,5545,11575,1969,28909,8422,No,5197,850,716619,81930,Home Appliances,1230925,58,15819.999999999998,Eligible
29,Male,Single,Post Graduate,141794,Government,18,Medium,Family,14823,6,1,2100,8168,4778,21951,8119,No,25420,383,862558,56320,Home Appliances,1194683,48,19752.25,Not_Eligible
50,Male,Married,Professional,87123,Self-employed,8,Large,Family,3865,6,2,9441,2424,8334,9048,6749,No,6583,636,148682,191664,Vehicle,944604,4,14237.65,High_Risk
38,Male,Single,High School,37880,Private,3,Small,Family,5460,6,4,1737,6183,9536,15457,11656,Yes,26657,354,768667,258859,Home Appliances,836021,76,500.0,Not_Eligible
51,Female,Married,Post Graduate,187825,Private,6,Large,Own,21832,1,3,11861,19808,10921,7214,518,No,117,620,988232,62788,Vehicle,933440,3,40443.899999999994,High_Risk
33,Male,Married,Post Graduate,102829,Self-employed,3,Small,Own,4496,2,0,14897,20932,6580,11949,8675,No,14359,392,103811,281741,Education,383056,15,7329.349999999999,Not_Eligible
39,Female,Married,High School,147633,Self-employed,10,Small,Rented,20836,4,3,10110,23974,9077,18999,10304,Yes,7707,407,331944,10758,Education,829482,62,16319.099999999999,Not_Eligible
39,Female,Married,Graduate,68205,Private,21,Large,Rented,6898,4,2,12606,17097,4331,25237,10458,Yes,13066,649,235537,70778,Personal Loan,1039350,38,500.0,Not_Eligible
50,Female,Married,Post Graduate,121948,Self-employed,29,Medium,Own,2546,2,4,2754,16469,5295,13302,3851,Yes,14066,708,788339,102843,Personal Loan,1014479,64,22282.75,Eligible
37,Male,Married,High School,74810,Private,22,Medium,Rented,4929,1,0,1392,17962,7148,26668,13519,Yes,11227,848,639306,159255,Home Appliances,281552,65,500.0,Not_Eligible
56,Female,Single,Post Graduate,128089,Government,1,Large,Family,12722,2,0,8439,22763,7443,3108,6855,No,14037,507,45246,96998,Education,1009402,69,18452.699999999997,Not_Eligible
56,Male,Single,Professional,79482,Government,9,Small,Family,24694,5,4,7735,2016,12799,3745,12056,No,24101,788,336679,9091,Vehicle,226320,18,500.0,Not_Eligible
28,Male,Married,Post Graduate,84192,Private,5,Large,Own,7214,5,3,12464,11678,4307,29092,5004,No,26623,372,455092,349422,Home Appliances,66850,80,500.0,Not_Eligible
54,Male,Single,High School,102154,Private,7,Small,Family,13310,6,2,7643,5701,6866,27539,8957,Yes,14032,390,126018,350362,Personal Loan,1224241,42,6337.099999999999,Not_Eligible
47,Female,Married,Post Graduate,101066,Government,14,Small,Own,2395,5,2,9877,28003,1539,9860,16039,Yes,25813,747,126701,273341,E-commerce Shopping,1324367,50,2639.0,Not_Eligible
39,Female,Single,Professional,174402,Government,12,Small,Own,24055,4,2,10123,20098,6271,29199,3360,Yes,26752,534,306342,274869,Vehicle,1490891,48,19090.399999999998,Not_Eligible
53,Female,Single,Professional,162211,Private,28,Medium,Own,14874,6,3,4016,12931,11485,20732,13218,Yes,7800,523,418140,433623,E-commerce Shopping,923404,7,27004.25,Not_Eligible
60,Male,Single,Post Graduate,143514,Self-employed,30,Medium,Family,27943,4,3,12300,9463,8172,10035,6758,Yes,8403,515,386399,222664,Home Appliances,48566,27,21154.0,Not_Eligible
37,Female,Married,Post Graduate,47977,Self-employed,27,Large,Own,21898,1,0,3432,15002,11252,22695,987,No,20640,465,530946,400832,Home Appliances,1420113,40,500.0,Not_Eligible
56,Female,Single,Professional,19983,Private,21,Medium,Own,1702,3,3,12576,28389,14265,28285,8207,No,27756,733,138207,435937,E-commerce Shopping,567343,56,500.0,Not_Eligible
31,Female,Married,Professional,185981,Self-employed,1,Small,Rented,25105,2,1,4526,26200,12830,14779,14880,Yes,1600,360,763195,399975,Home Appliances,811561,83,30121.35,Not_Eligible
46,Female,Married,Graduate,64029,Government,19,Small,Family,20058,3,4,14911,15588,2488,10786,9762,Yes,13739,369,164881,357214,Home Appliances,294216,75,500.0,Not_Eligible
52,Female,Married,Graduate,167401,Government,0,Large,Own,8494,4,3,13650,18792,1285,26737,13413,No,27711,842,961165,336486,Education,1306467,84,20061.649999999998,Eligible
26,Male,Single,Professional,137668,Self-employed,14,Small,Rented,14537,2,2,7784,15203,6733,20121,4427,No,29704,484,189027,472918,Vehicle,1096651,78,13705.65,Not_Eligible
30,Male,Single,Post Graduate,182806,Private,6,Large,Own,12259,4,3,12176,29421,7482,8532,78,No,8223,426,41601,285634,Personal Loan,1224646,47,36622.25,Not_Eligible
52,Male,Single,High School,57837,Government,23,Large,Family,15892,1,0,12014,22702,2237,13743,18202,Yes,22325,439,167670,258150,Education,560661,41,500.0,Not_Eligible
52,Male,Married,Post Graduate,132512,Government,25,Small,Rented,20635,6,4,2081,6971,1112,18892,9236,Yes,27772,562,641845,353465,Home Appliances,1382662,30,16034.55,Not_Eligible
44,Female,Married,Post Graduate,81786,Government,17,Medium,Rented,28544,2,4,9539,19235,5433,21585,15258,Yes,13593,455,739571,4783,Personal Loan,1478934,55,500.0,Not_Eligible
54,Male,Single,Graduate,19758,Self-employed,9,Small,Own,13,4,2,13862,1397,9281,9367,9803,No,5949,630,711377,151449,Home Appliances,988881,56,500.0,Not_Eligible
35,Female,Married,Graduate,117667,Private,14,Small,Own,23571,5,4,5575,10157,7926,18181,431,No,4716,779,901872,391585,Vehicle,634976,22,16488.5,Eligible
52,Male,Single,Graduate,123119,Self-employed,4,Large,Family,19187,5,1,5344,4156,11998,20825,13336,No,27817,620,278309,75679,Home Appliances,250793,57,7159.599999999999,High_Risk
49,Male,Single,Professional,115157,Private,26,Medium,Family,17272,4,4,4736,19625,10691,3683,14638,Yes,15535,463,508924,193888,E-commerce Shopping,1210478,67,10141.949999999999,Not_Eligible
57,Male,Single,Professional,97673,Private,23,Large,Own,11720,3,2,132,1530,2053,21304,14129,No,901,625,407254,106791,E-commerce Shopping,874886,78,16066.4,High_Risk
25,Female,Single,Post Graduate,112639,Self-employed,10,Small,Rented,9388,6,4,11815,774,2563,29783,15424,Yes,20724,437,936277,170500,E-commerce Shopping,190433,24,7758.799999999999,Not_Eligible
51,Female,Married,Post Graduate,167904,Government,7,Large,Family,4540,1,3,1854,18845,14699,8170,8463,Yes,6005,501,243526,328201,E-commerce Shopping,556024,53,36864.799999999996,Not_Eligible
37,Male,Single,High School,147940,Private,30,Large,Family,8090,1,0,11136,7985,14891,25133,14334,Yes,26879,389,564959,376291,Personal Loan,836346,74,13822.199999999999,Not_Eligible
27,Female,Single,Post Graduate,129869,Self-employed,20,Small,Rented,2169,4,3,6050,8307,9548,29795,15315,Yes,12061,748,600006,382173,E-commerce Shopping,813405,14,16318.4,Eligible
30,Male,Single,Post Graduate,196737,Government,7,Large,Own,11760,1,1,5077,7342,4726,18316,4431,No,21223,745,866257,450120,Home Appliances,1357327,61,43351.7,Eligible
32,Male,Single,Graduate,187934,Private,29,Small,Family,10423,2,1,5340,21631,7689,8715,8949,Yes,7318,781,665953,123565,Education,178960,56,41254.149999999994,Eligible
51,Male,Single,Graduate,34728,Private,5,Large,Rented,10035,1,0,8592,24040,5554,18652,4303,No,26726,657,635656,429599,Home Appliances,1067107,55,500.0,Not_Eligible
33,Female,Single,Graduate,118542,Government,14,Medium,Family,20035,5,0,605,15364,9662,6984,8305,Yes,11224,318,691461,79804,Home Appliances,509073,40,16227.05,Not_Eligible
57,Male,Single,Graduate,108565,Private,14,Small,Rented,28452,4,0,12898,17733,3914,6415,5016,No,29208,329,319387,67156,Home Appliances,848890,14,1725.1499999999999,Not_Eligible
48,Male,Married,Graduate,185929,Self-employed,4,Medium,Family,8017,2,0,13371,19129,3986,9109,1962,No,16024,513,276388,28585,Home Appliances,954764,75,40015.85,Not_Eligible
39,Male,Married,High School,174255,Private,12,Large,Own,10910,1,4,14976,27819,3620,3270,3065,Yes,3344,715,919593,87921,Education,526077,9,37537.85,Eligible
56,Female,Married,High School,165012,Private,13,Medium,Rented,24624,5,3,131,13510,12454,9832,3948,Yes,10859,467,532041,197112,E-commerce Shopping,1256820,70,31378.899999999998,Not_Eligible
56,Male,Married,High School,140019,Government,10,Medium,Family,180,6,1,12680,15590,8169,29465,7671,Yes,20506,655,301641,171289,Vehicle,763216,31,16015.3,High_Risk
48,Female,Single,Graduate,151352,Self-employed,19,Medium,Family,20262,3,4,13100,19231,10333,24639,7106,No,25226,663,379401,466838,Personal Loan,1478169,47,11009.25,High_Risk
36,Male,Married,Professional,117548,Government,20,Large,Rented,25993,1,0,7071,8014,5403,25786,14688,No,12421,635,908111,150920,Education,735828,12,6360.2,High_Risk
26,Female,Married,Graduate,148236,Self-employed,11,Small,Rented,3464,5,2,12868,626,5659,12471,17312,Yes,9806,384,42685,441796,Education,760888,6,30110.499999999996,Not_Eligible
27,Male,Married,Graduate,136289,Government,19,Large,Own,11611,6,2,6157,21969,2038,9474,5422,Yes,21727,403,926432,137270,Education,1305801,26,20261.85,Not_Eligible
41,Male,Single,High School,144068,Private,0,Large,Rented,16913,6,3,6578,5961,7567,6994,13429,No,15727,417,333977,103047,Personal Loan,1497948,84,24814.649999999998,Not_Eligible
26,Female,Married,Graduate,94624,Self-employed,2,Large,Family,22155,5,1,14809,13624,13059,14656,10274,Yes,29399,337,342644,482283,Home Appliances,1446227,28,500.0,Not_Eligible
26,Female,Married,High School,164477,Self-employed,7,Small,Own,21063,5,1,14486,12810,12742,22214,2915,Yes,4810,782,514648,254579,Personal Loan,1260071,58,25702.949999999997,Eligible
